,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,LastGame_home,LastGame_away,PastShot_home,PastShot_away,PastGoaldiff_home,PastGoaldiff_away
3257,24,13,8,7,12,11,10,4,1,3,1,0,1990.3974632810518,1288.3072915379184,8,8,152,100,13,-4
3258,9,9,5,4,12,10,9,7,1,3,0,0,1934.567395367215,1287.2681251632641,8,8,127,128,13,-11
3259,20,11,7,2,8,10,7,2,0,1,0,0,1611.1140809263263,1657.5362360922168,8,8,131,110,-7,-5
3260,20,10,5,6,12,15,9,5,3,3,0,0,1990.3984367072298,1429.5736934420704,9,10,171,99,14,-10
3261,10,11,2,4,14,23,2,3,0,4,0,0,1492.5862744310505,1393.5417801970138,10,10,110,89,-5,-7
3262,24,13,3,5,4,8,10,2,1,0,0,0,1288.3063181117404,1657.430442776023,9,9,108,111,-1,-7
3263,7,8,3,2,13,8,3,3,2,1,0,0,1839.1047868665976,1934.568714902449,10,9,156,123,8,14
3264,11,16,3,5,12,13,4,2,2,1,0,0,1397.3336633370222,1480.5388217364475,10,10,88,86,-4,1
3265,3,14,1,3,9,13,2,12,2,1,0,0,1340.6503888143413,1893.8780645642194,10,10,110,181,-13,19
3266,11,10,5,2,10,19,5,4,2,0,0,0,1400.163584186298,1611.21987424252,10,9,112,148,-14,-4
3267,15,6,6,2,20,16,7,1,1,4,0,0,1948.387048912223,1287.2668056280302,11,10,173,120,9,-10
3268,14,14,7,5,21,12,5,5,1,0,0,0,1565.8841148772758,1681.5718669081969,11,11,105,124,0,8
3269,6,11,1,4,11,14,2,4,3,3,0,0,1544.9431410995116,1913.1315571857417,11,11,135,150,3,-1
3270,13,9,6,5,14,8,10,13,1,1,0,0,1944.4742564478738,1960.4016205914097,4,4,122,175,13,11
3271,21,10,9,7,8,8,6,1,3,3,0,0,1413.511479208741,1331.9308639114836,4,4,88,107,-4,-11
3272,15,18,10,8,14,4,4,8,3,1,0,0,1691.4541638902724,1472.6165754193232,3,4,125,111,9,-5
3273,7,22,4,5,9,12,1,15,2,1,0,0,1297.265488282074,1829.1992453211728,3,4,116,136,-10,6
3274,21,6,7,4,12,15,3,2,0,2,0,0,1611.0265776763358,1510.8341801191184,4,3,141,135,-6,-1
3275,17,8,5,0,8,11,11,2,0,1,0,0,1902.5975894670771,1387.4229891152347,4,4,183,93,20,-4
3276,16,11,7,7,12,10,3,6,5,0,0,1,1459.5705095578905,1288.750218907066,4,4,98,122,-8,1
3277,16,12,4,2,6,13,5,6,2,2,0,0,1490.449495958235,1556.0018178952002,4,3,91,105,1,-1
3278,11,15,1,9,12,13,10,3,2,4,0,0,1656.9865419806974,1938.388366258179,5,4,113,171,-8,9
3279,17,4,5,2,9,13,10,3,2,3,0,0,1947.240518166135,1400.3568807524823,4,5,140,105,2,-14
3280,17,9,7,4,12,9,3,8,3,1,0,1,1960.3298913597678,1298.8005586084446,7,7,165,117,5,-7
3281,17,7,9,2,14,14,10,3,3,4,0,0,1827.6641749948024,1902.6021582436242,7,7,148,172,5,16
3282,22,9,11,3,10,12,5,1,1,0,0,0,1967.5821501575392,1459.6237699024257,6,7,176,97,12,-5
3283,9,7,3,3,14,9,5,2,2,0,0,0,1387.4184203386876,1691.4904401960978,7,7,85,127,-6,12
3284,7,6,4,1,10,14,5,5,1,3,0,0,1555.8542171745223,1376.091904561182,7,7,107,100,-4,-11
