,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HomeElo,AwayElo,LastGame_home,LastGame_away,PastShot_home,PastShot_away,PastGoaldiff_home,PastGoaldiff_away
0,24,5,14,4,11,8,7,5,0,0,0,0,1500.0,1500.0,7,7,121,121,0,0
1,14,8,8,2,13,12,4,3,1,2,0,0,1500.0,1500.0,7,7,121,121,0,0
2,10,15,5,11,11,9,3,5,2,2,0,0,1500.0,1500.0,7,7,121,121,0,0
3,11,12,6,6,10,9,5,6,3,0,0,0,1500.0,1500.0,7,7,121,121,0,0
4,14,8,10,5,11,12,7,9,1,2,0,0,1500.0,1500.0,7,7,121,121,0,0
5,6,14,3,8,13,12,1,8,0,2,0,0,1500.0,1500.0,7,7,121,121,0,0
6,15,22,8,9,14,11,6,10,2,1,0,0,1500.0,1500.0,7,7,121,121,0,0
7,14,13,10,8,8,11,7,8,0,1,0,0,1500.0,1500.0,7,7,121,121,0,0
8,18,12,11,8,10,6,8,3,0,1,0,0,1500.0,1500.0,7,7,121,121,0,0
9,18,11,12,4,15,11,6,6,3,0,0,0,1500.0,1500.0,7,7,121,121,0,0
10,12,7,5,4,11,15,6,3,0,1,0,0,1512.8548629678016,1507.1314292639636,7,7,15,11,1,1
11,5,15,2,6,14,6,1,5,2,0,0,0,1492.8685707360364,1507.1987000039423,7,7,12,121,-1,0
12,16,9,8,4,10,12,14,3,2,1,0,0,1512.9381494701147,1507.1036239627197,7,7,14,14,1,1
13,10,9,8,4,8,13,4,6,1,2,0,0,1503.1160968810407,1512.5726755751762,6,7,11,14,0,2
14,8,5,2,2,15,5,2,8,1,0,0,0,1487.4273244248238,1507.0086986903218,7,6,8,14,-2,2
15,18,12,11,7,12,12,12,6,1,2,0,0,1492.8963760372803,1487.0618505298853,7,7,8,6,-1,-1
16,14,9,4,7,11,14,11,5,3,1,0,0,1492.8012999960577,1487.1451370321984,7,7,121,10,0,-1
17,14,3,9,0,12,16,6,3,0,2,0,1,1492.9913013096782,1510.5684892287768,7,8,13,15,-2,1
18,10,7,6,3,13,17,7,7,1,2,0,0,1489.4315107712232,1512.1766602949394,8,7,22,18,-1,4
19,13,12,6,7,11,11,4,3,2,2,0,0,1487.8233397050606,1496.8839031189593,8,8,12,18,-4,0
20,20,4,14,2,12,11,12,1,2,2,0,0,1500.0697578067613,1509.9530775661553,7,7,15,21,-1,1
21,18,12,9,7,18,16,7,5,2,2,0,0,1505.7356948900615,1478.9610813904933,7,7,23,14,1,-1
22,16,6,7,5,5,11,4,3,1,0,0,0,1500.9853556377627,1474.1721526820038,7,5,19,25,0,-5
23,10,8,5,5,18,12,7,3,1,0,0,0,1510.4625421965168,1476.1743420120242,7,6,18,32,1,-2
24,21,7,12,2,14,18,4,5,2,4,0,1,1500.5715281441778,1494.4264103221442,7,7,23,16,0,-1
25,11,12,6,7,14,21,10,4,1,5,0,0,1503.8849750392733,1509.5237500352484,6,7,18,27,-2,1
26,5,8,2,3,9,13,5,8,0,2,0,0,1500.0096127930015,1519.4702452886565,8,8,19,30,1,2
27,12,6,3,6,10,13,5,8,3,0,0,0,1525.4338290541384,1479.1353461566657,7,8,25,26,5,-2
28,10,9,4,8,20,11,3,3,4,2,0,0,1500.8228804105,1499.6748154991817,8,7,18,27,0,1
29,10,17,3,10,8,8,5,5,1,1,0,0,1503.2461022775287,1509.5923571235603,14,14,39,35,-2,2
30,20,8,13,7,15,11,12,6,1,1,0,0,1499.9975129332174,1501.171268865221,21,14,17,41,0,1
31,16,7,11,3,10,18,5,4,0,3,0,1,1522.8149793682383,1510.535090142016,13,19,38,30,2,1
32,13,18,7,8,14,10,8,5,0,1,0,1,1513.4565303428224,1520.556901971794,13,13,36,37,4,5
33,13,8,4,4,13,17,5,3,0,2,1,0,1500.4304782493564,1488.335523868371,14,14,25,28,-2,-4
34,21,7,12,3,8,6,3,2,2,1,0,0,1496.0614374817394,1506.521128571758,14,14,31,44,-2,1
35,13,21,8,13,9,18,8,8,1,1,0,0,1483.5255074153338,1510.162622796993,14,14,26,29,-1,1
36,12,6,8,5,10,9,8,6,1,1,1,0,1498.30136034017,1487.0411655668593,14,13,40,28,3,-3
37,12,8,7,5,10,19,7,8,2,1,0,0,1488.476809894564,1479.0960708380271,15,15,23,35,-2,-3
38,17,17,10,13,15,12,12,8,1,4,0,0,1484.01227323901,1496.6648787134197,15,15,32,24,-2,1
39,11,11,4,5,13,11,4,3,2,0,0,0,1482.959491147115,1509.6796297859146,7,7,49,37,-6,1
40,12,20,8,9,12,10,7,17,2,2,0,0,1491.4891520125238,1529.878968253974,7,7,49,52,0,6
41,27,3,11,2,8,10,20,3,1,1,0,0,1529.024751180715,1475.4059515314782,7,6,54,35,3,-3
42,17,14,11,11,9,16,8,7,2,3,0,0,1490.2721916631888,1499.4122710771449,7,7,34,51,-3,0
43,12,11,6,8,8,21,2,6,1,2,0,0,1502.4959025976634,1486.8261574225648,7,7,50,38,0,-3
44,20,13,13,8,15,18,7,4,1,7,0,0,1533.7785662505391,1504.3253183295394,8,8,55,37,7,0
45,9,17,5,8,11,12,4,6,0,1,0,0,1501.9398446951625,1492.166929201113,8,7,36,43,-3,-2
46,14,10,10,4,13,14,8,5,0,1,0,0,1500.2348660640773,1503.1702949763526,8,8,49,52,2,-1
47,11,14,4,6,13,12,3,4,2,2,0,0,1471.6694792845597,1495.0703342438405,6,8,49,52,-3,3
48,10,10,6,5,22,16,5,6,3,3,0,0,1491.1922276146634,1509.00767266787,8,6,39,41,0,2
49,18,7,9,5,8,7,15,4,2,1,0,0,1541.1784758142608,1500.1262650040862,7,6,72,45,8,-3
50,12,9,8,3,8,9,5,5,1,1,0,0,1519.6232606109054,1498.5199638163806,6,7,51,51,3,-1
51,4,11,2,6,17,20,7,4,3,3,1,0,1493.9805088921892,1525.4238730645964,6,7,60,81,-2,3
52,18,16,6,10,15,13,2,4,4,1,1,0,1501.4639594143978,1514.0921527599992,7,7,48,62,0,2
53,31,10,24,5,8,10,16,4,0,3,0,0,1506.8269770458423,1480.1896444522372,6,7,50,61,0,-2
54,22,14,13,9,14,13,11,8,2,4,0,0,1491.164498923953,1480.576639671628,7,6,65,49,-2,-1
55,4,9,2,8,6,19,5,5,0,4,0,0,1475.229907260229,1491.1751615186317,7,7,49,60,-5,-5
56,5,14,2,9,9,6,5,5,2,1,0,0,1479.0068296475968,1531.2769075342362,7,6,38,75,-3,7
57,8,15,6,8,18,13,3,6,4,3,1,0,1490.1220478943596,1471.0819469899259,7,7,62,60,-7,-3
58,9,11,4,6,12,21,5,3,3,4,0,0,1495.6578665384743,1513.2831131460703,7,7,66,63,3,8
59,6,18,3,9,11,8,3,4,2,1,0,0,1505.204773910709,1515.8355600790103,7,7,69,81,-4,2
60,8,13,5,7,10,11,1,7,3,5,0,0,1489.9102334726488,1529.0560403541197,7,7,60,90,-2,7
61,13,14,8,5,10,13,8,6,2,1,0,0,1490.9119682420794,1486.342060727481,7,7,63,66,0,-1
62,21,6,9,2,10,13,8,2,3,0,0,0,1507.1064049061563,1480.8291703535017,6,7,75,87,4,-3
63,27,8,15,3,11,13,7,1,0,3,0,0,1539.3577758314295,1528.2329909546372,8,8,89,63,9,4
64,13,11,5,9,18,15,3,5,1,3,0,0,1484.2566227339983,1461.2002948681518,8,8,64,53,-4,-6
65,7,14,5,7,11,12,1,7,1,1,1,0,1501.8345747783883,1535.1477592227873,7,8,74,92,7,5
66,17,8,11,5,7,15,2,5,0,3,0,0,1500.2801193109567,1470.9259613504034,7,8,70,43,-5,-5
67,27,10,16,6,15,15,12,0,4,2,0,0,1460.9238755733288,1512.2487004642273,7,8,75,52,-5,-2
68,13,12,5,6,15,8,7,7,4,3,0,0,1529.2140514469158,1471.1810614190692,8,8,78,71,3,-4
69,22,7,14,3,8,13,7,4,2,4,0,0,1526.5711622445913,1485.85148206151,14,13,103,77,7,-4
70,10,8,3,3,18,19,11,2,1,3,0,1,1510.6171586516364,1512.082600562531,13,13,71,87,2,-4
71,10,8,4,1,16,12,11,8,1,3,0,0,1484.1306206717006,1496.6722712030478,13,14,83,75,-2,-6
72,13,14,9,7,12,8,8,5,1,1,0,0,1474.8400049679244,1492.3951115821772,14,14,80,68,-2,-2
73,17,7,7,4,10,13,5,2,1,1,0,1,1545.2119000131872,1498.1996514963068,13,14,106,96,6,3
74,18,6,14,2,11,14,15,1,0,1,0,0,1524.3680627866715,1502.414024001636,14,14,99,76,4,1
75,7,21,4,14,13,9,5,7,2,0,0,0,1489.7359237633511,1556.9736081344304,14,13,93,116,-2,11
76,12,14,4,5,11,11,3,5,2,1,0,0,1518.1725834720758,1516.2644921942845,14,14,62,91,-1,1
77,7,11,3,6,12,12,6,1,1,2,0,2,1459.123480098829,1454.9999925654804,14,14,51,102,-6,-6
78,6,20,2,8,15,15,5,10,0,2,1,0,1459.60543554064,1491.7704339879883,15,15,64,81,-6,6
79,13,5,5,2,17,11,9,2,3,1,0,0,1492.8569863205987,1485.2550997389567,7,7,83,100,-6,-7
80,13,18,9,14,17,11,5,9,3,3,0,0,1473.7841641471034,1537.7557722801077,7,7,84,117,-6,8
81,14,10,3,5,11,11,2,4,1,2,0,0,1488.3044708513082,1464.6039419152837,7,5,82,70,-2,-6
82,24,16,16,10,12,13,14,5,1,2,0,0,1489.0263145082,1532.2658433104489,7,6,82,74,-3,0
83,14,8,5,3,17,13,4,2,3,3,0,0,1561.4544321588248,1557.8106408074354,8,8,137,123,16,7
84,18,9,12,6,12,16,6,8,1,0,0,0,1486.7719276133446,1473.243886402391,6,7,101,58,6,-5
85,21,9,12,5,7,7,8,6,0,0,0,0,1508.7105615098958,1478.9306456987933,8,8,95,93,-4,-2
86,19,10,9,3,9,16,3,4,0,3,0,1,1440.8795862619186,1487.9459055541497,7,8,113,93,-7,-2
87,7,20,3,10,13,9,4,9,2,3,1,0,1502.1712323559113,1538.638480158998,7,8,105,125,0,9
88,17,9,5,7,14,8,9,4,1,2,0,0,1485.6009107020586,1513.9891977042716,8,8,103,81,2,2
89,10,14,5,4,13,11,7,8,0,4,0,0,1450.7887581988837,1484.360480888119,3,3,80,106,-7,-6
90,20,9,12,6,8,17,9,1,1,4,0,0,1543.4605128586172,1456.3093396253655,3,3,145,132,11,-5
91,8,11,4,5,5,17,4,5,0,1,0,0,1519.009683513963,1496.9947849569046,3,4,90,96,6,-6
92,18,11,12,7,17,12,5,3,1,2,0,0,1472.5161521907028,1479.506179070056,3,4,103,97,-4,-6
93,7,5,2,2,9,14,2,2,0,2,0,0,1475.2309550532552,1480.5804248923673,3,3,102,120,-2,-2
94,10,27,5,11,11,13,5,5,0,2,0,0,1536.9316769305299,1555.7665038037542,4,3,90,151,3,15
95,21,4,10,1,13,12,7,1,0,3,0,0,1563.498569162506,1512.410252155434,3,3,131,116,8,-4
96,21,4,12,1,10,9,3,1,1,2,0,0,1532.033757357155,1497.349199656292,4,3,135,112,8,-2
97,5,13,3,8,10,15,3,3,1,3,0,0,1481.1173011026508,1500.8715723419868,4,3,105,119,-7,9
98,9,9,6,4,10,8,4,4,2,1,0,0,1459.1442416737486,1502.1196545677083,3,4,67,96,-8,-1
99,17,1,11,0,5,11,4,0,0,1,0,0,1561.3921979971783,1487.7056031411014,3,3,178,105,18,-2
100,9,15,4,5,11,15,6,5,0,0,0,0,1485.2307136902245,1489.3900032967153,3,3,108,109,-5,0
101,20,11,11,7,12,13,9,1,2,2,0,0,1551.2622713036217,1531.3059827371058,3,3,156,100,10,0
102,11,13,7,8,10,14,5,4,3,4,0,0,1495.1563090996494,1478.1206857098255,3,3,110,116,-5,-4
103,16,12,8,8,9,11,9,6,0,3,0,0,1499.8999377025377,1466.4213766489072,3,3,120,125,-5,-4
104,7,13,5,6,11,7,3,5,4,2,0,1,1473.5582931003555,1545.4758412280235,3,3,76,165,-7,11
105,8,14,4,6,18,13,4,4,1,2,0,0,1454.2940112559593,1576.0088836154023,3,3,141,152,-5,9
106,15,9,8,5,13,18,2,3,3,2,0,1,1461.7509718670628,1483.3323130981623,4,3,120,107,-7,-7
107,20,11,12,6,15,20,6,1,1,1,0,0,1466.7916175705343,1486.8325643449882,4,4,121,132,-5,7
108,11,6,7,1,13,21,2,6,4,3,0,0,1473.3982672199397,1532.6721553727052,6,5,90,98,-6,7
109,11,17,7,9,16,7,5,6,3,2,0,0,1531.9461534783595,1569.3495594744309,7,7,178,176,10,11
110,16,10,11,6,15,10,6,7,1,2,0,0,1513.2186945662966,1477.821041626612,7,6,100,127,-2,-5
111,11,4,10,2,10,8,3,7,2,1,0,0,1561.5817193965752,1463.21759591097,7,7,152,135,7,-7
112,9,10,6,5,8,10,8,3,2,1,0,0,1468.2205783271688,1490.8878133412275,7,7,100,124,-6,-2
113,15,12,13,7,9,10,9,4,1,1,0,0,1476.3203535167333,1498.2305208924668,7,7,114,107,-5,-3
114,22,2,14,1,10,12,6,3,1,3,0,0,1475.4335010102175,1487.0879808500194,7,7,115,75,-2,-4
115,14,15,9,8,13,5,7,4,2,2,0,0,1520.9508329483906,1496.9566412927416,6,8,90,107,3,-6
116,8,18,3,13,14,11,5,9,2,1,0,0,1481.8656890542552,1580.8772228111109,8,8,101,177,-8,19
117,11,13,6,7,13,11,6,1,2,2,0,0,1476.3901960944731,1485.1195896442543,8,6,124,90,-1,-4
118,9,14,7,9,12,13,4,5,1,2,2,1,1475.8031402889105,1468.7211754747864,7,8,130,141,7,-3
119,11,9,8,6,9,22,8,5,2,4,0,0,1542.6053756651925,1507.3568873643824,7,6,174,99,12,3
120,16,10,8,6,9,9,11,9,3,4,0,0,1471.2623261957463,1457.077387769524,6,7,97,97,-10,-8
121,15,15,9,6,7,7,7,3,1,1,0,0,1489.7054318123721,1570.6710043363596,7,7,128,147,-3,9
122,16,7,14,3,2,10,10,3,1,0,0,0,1482.9712906287095,1482.8504086567018,6,6,123,137,1,-1
123,21,3,15,1,5,15,3,0,1,2,0,0,1558.690337287598,1489.3709571862978,7,7,175,69,10,-5
124,17,12,9,7,9,12,4,10,1,3,0,1,1478.538495110018,1473.1505246739391,6,7,93,127,-6,-1
125,13,15,3,9,7,10,3,10,0,3,0,0,1454.1283109711856,1591.4805856696198,7,6,125,188,-9,20
126,11,11,5,7,6,11,8,7,0,1,0,0,1464.722279053543,1502.0310038988723,7,7,126,121,-4,0
127,15,11,7,3,11,13,11,1,0,2,0,0,1509.8285953556572,1510.5505868767498,8,7,110,113,-2,-4
128,11,12,6,8,15,16,3,6,2,3,0,0,1501.3343043805364,1461.673907106995,8,7,109,125,-3,3
129,10,12,7,7,12,15,3,6,1,0,0,0,1522.3960377544045,1564.047822099421,7,7,103,184,5,14
130,25,2,14,0,12,13,8,1,0,2,0,0,1612.7993271963892,1473.122727146338,7,7,191,106,23,-3
131,18,6,7,6,7,6,9,3,0,0,0,0,1583.3911439928124,1488.0598098403889,7,7,154,134,11,1
132,12,11,8,5,16,9,3,3,0,1,0,0,1468.2739319843015,1527.5662252751704,6,7,128,165,0,7
133,18,11,5,5,10,15,8,0,2,5,0,0,1516.3158882483722,1476.9852921559193,6,7,103,125,-5,-5
134,14,13,7,6,13,13,7,7,2,1,0,0,1506.8952148481574,1494.73427950323,7,6,126,110,-3,2
135,9,8,7,2,9,7,4,1,1,0,0,0,1484.0134723744748,1432.8095694444162,7,7,65,126,-9,-12
136,17,10,6,5,13,16,4,2,2,1,0,0,1471.8929431442202,1459.8580681042579,8,8,97,126,-4,-7
137,16,9,7,6,15,15,6,6,2,3,0,1,1477.7618894450225,1456.44677082105,8,8,138,101,-2,-8
138,12,7,6,2,8,7,3,3,0,0,0,0,1478.566292637619,1504.0632939840348,9,8,131,109,-6,1
139,12,5,4,2,9,16,11,4,0,2,0,0,1517.1934347198503,1495.687516628478,7,7,96,120,4,0
140,14,10,7,5,9,7,7,2,1,1,0,0,1490.7992604005983,1481.1823298303045,7,7,114,95,-6,-2
141,10,6,5,5,17,20,5,3,2,3,0,0,1486.7540306643298,1501.3758621296463,7,7,62,115,-7,1
142,14,11,9,6,9,6,5,6,4,0,0,0,1455.1670320990659,1502.5019200036932,6,7,108,128,-5,-2
143,17,17,9,9,10,7,6,8,0,2,0,0,1482.4153157137087,1430.0690111545612,5,7,131,121,-5,-14
144,12,9,5,6,18,16,3,2,2,0,0,0,1604.7397245124228,1522.7283996682654,8,8,198,159,21,0
145,10,12,1,8,17,15,3,8,2,5,0,1,1473.1117575912065,1569.250425133975,8,8,127,189,5,15
146,9,10,6,2,5,12,8,10,0,1,0,0,1500.253632221741,1453.3399669491141,8,7,119,100,-4,-5
147,14,8,6,6,9,16,5,1,1,3,0,0,1480.8686933169583,1500.214270907945,7,6,137,108,0,-1
148,21,7,8,3,5,7,17,5,1,1,0,0,1575.7634372047232,1476.5839791494122,9,8,156,115,10,-5
149,11,10,4,4,13,13,8,3,1,2,0,0,1540.4883105035651,1485.004977612667,6,7,148,134,-1,-4
150,7,10,3,6,11,9,5,6,2,2,0,0,1450.5869513723771,1567.9621566529286,6,5,99,150,-7,10
151,21,11,11,7,14,16,10,2,2,1,0,0,1526.2702921761042,1586.979813677123,7,6,127,190,3,20
152,12,15,8,7,6,5,9,7,2,1,0,0,1502.6416093035439,1458.3681204263298,7,6,114,123,1,-2
153,17,9,7,7,10,8,8,6,1,1,0,1,1507.7976934500189,1484.0018949080084,7,7,112,114,1,-4
154,27,2,15,2,8,8,10,1,1,0,0,0,1583.9940622988518,1431.3986599266548,6,7,188,105,16,-10
155,9,12,6,4,10,17,6,3,0,1,0,0,1487.9796953228945,1480.3321993439572,7,7,94,69,0,-7
156,12,5,7,5,18,16,10,6,2,1,0,0,1516.3672419393226,1510.2393420447845,7,8,99,98,0,3
157,14,6,8,3,11,12,3,5,1,2,0,0,1427.4793492556028,1503.006647798478,8,7,128,118,-14,3
158,11,17,4,12,13,16,7,5,2,0,0,0,1484.385259701207,1464.7157222855808,7,8,110,140,-7,-1
159,16,9,7,5,7,16,10,3,0,1,0,0,1525.7472175041637,1503.8737113925033,6,7,91,138,3,3
160,22,9,10,3,12,8,8,4,3,3,0,0,1581.7097561239282,1511.5154869371443,7,7,149,122,10,1
161,7,11,4,4,10,7,5,7,0,1,0,0,1465.1220543851505,1500.8593664799434,7,6,127,107,-1,1
162,8,17,3,11,8,11,5,10,0,1,0,0,1480.284101420883,1543.2991409067529,7,7,101,141,-4,1
163,6,9,2,6,16,2,5,6,1,1,0,0,1488.8837009580534,1495.8876753447232,7,7,76,108,-5,2
164,16,14,10,6,8,14,1,11,1,2,0,0,1429.3557505251708,1424.0505312426603,7,6,98,128,-10,-15
165,11,15,6,12,10,9,4,14,1,1,0,0,1480.110927915922,1586.0369717003357,5,7,142,184,3,15
166,10,11,5,4,9,14,6,9,1,1,0,0,1482.1941472094793,1436.8393519013775,7,7,135,97,-6,-10
167,19,4,12,2,13,20,9,4,3,2,0,0,1609.376394460724,1468.9900540708657,8,6,187,105,20,-10
168,18,10,6,5,15,5,8,5,4,1,0,0,1506.4354658114205,1479.4281937087983,7,8,116,99,1,1
169,10,14,9,4,13,11,3,7,0,2,0,0,1427.7110379228707,1485.390156236579,7,7,102,74,-11,-4
170,19,8,10,5,14,16,6,3,1,1,0,0,1499.0903660116276,1493.549195989125,7,6,135,117,-1,-3
171,19,12,13,5,12,7,6,4,0,2,0,0,1499.3812200661976,1477.9448311199635,7,7,103,103,3,-5
172,14,15,8,6,20,10,6,6,3,1,1,0,1517.4794716198871,1440.7446556660786,7,7,121,106,0,-6
173,17,10,13,4,7,10,7,6,2,1,0,0,1474.7459053226953,1530.5305628850394,6,7,96,99,-8,7
174,6,10,3,6,14,17,2,1,3,3,1,0,1545.6384112076723,1575.7457714411853,8,8,145,157,1,9
175,7,11,4,6,9,7,4,7,3,2,0,0,1492.3144635310937,1479.9984401562474,7,8,98,126,4,4
176,12,11,7,7,10,9,5,7,2,1,0,0,1412.6616261017525,1451.7477426592625,8,8,129,127,-20,-1
177,10,6,8,2,16,12,6,5,0,3,0,1,1514.2336782058314,1603.6205432088943,9,8,105,179,2,18
178,13,8,9,6,10,10,7,6,4,4,0,0,1539.5697971300099,1546.1896950201203,6,5,99,129,8,-1
179,23,6,15,2,7,7,7,5,1,0,0,0,1600.5530091686878,1424.0930871816745,4,5,164,135,13,-15
180,18,4,8,2,7,12,16,3,1,3,0,0,1575.1944876287373,1507.4205822083486,5,6,150,144,8,0
181,23,15,16,11,15,14,8,10,0,4,0,0,1440.3162815793405,1504.4223169269549,5,6,118,123,-2,-4
182,7,11,5,6,28,14,5,8,5,1,0,0,1469.7701095846562,1517.301212246038,6,4,108,108,-3,4
183,21,16,14,9,14,9,9,5,1,3,0,0,1485.218979792404,1465.7066710777249,6,6,117,99,-4,-8
184,6,17,3,10,13,7,6,9,4,2,1,0,1468.2069209521017,1586.1494594600103,6,13,81,181,-8,13
185,13,7,8,3,5,11,5,2,0,3,0,0,1453.801810359011,1444.894273207348,6,6,107,104,-3,-8
186,14,10,7,7,7,11,4,2,0,1,0,0,1470.3415383843856,1507.5559416015049,5,6,126,109,4,6
187,11,5,5,3,14,11,7,4,2,3,0,1,1491.3224611879864,1501.9713653029555,13,5,124,99,-2,5
188,11,4,7,3,9,9,11,2,0,1,0,0,1545.1324868023814,1476.6408456514012,2,2,117,117,-3,-7
189,11,13,6,3,14,9,4,3,2,1,0,0,1442.7593955450848,1465.3225319741882,2,2,98,123,-8,-1
190,14,10,8,7,14,13,8,7,2,3,0,0,1497.9772313255526,1504.377948123908,2,2,138,128,-1,0
191,10,8,6,5,6,10,8,2,1,4,0,0,1524.2338892441637,1455.9366880212742,2,2,106,106,5,-4
192,5,19,2,14,9,8,1,7,1,2,0,0,1504.00540652428,1609.9351515731291,2,2,110,173,6,16
193,10,17,7,12,7,11,4,9,2,1,0,0,1488.9158783670339,1584.6378385115333,2,2,94,160,5,10
194,17,4,11,3,13,12,8,4,3,2,0,1,1414.7109447772332,1473.8920734616104,2,2,117,121,-14,2
195,15,8,7,5,10,13,8,4,3,3,0,1,1474.2848052187278,1463.2853883168389,2,2,108,78,-3,-6
196,28,7,13,2,10,17,8,4,2,0,0,0,1591.0709920952731,1462.8374325865304,3,3,180,110,10,-4
197,8,7,3,3,11,8,9,5,1,2,0,0,1479.4160665321072,1540.6270053477488,4,4,122,103,-11,4
198,14,2,9,2,13,16,5,0,2,2,0,0,1556.1875536268037,1491.3588027097333,13,13,108,134,-2,-1
199,21,9,13,6,12,17,10,7,1,1,0,0,1545.3919098092351,1429.7638053649205,11,13,102,120,4,-11
200,8,5,5,0,14,26,5,3,2,5,0,0,1541.515867842931,1474.6511620706208,13,11,105,120,7,-9
201,9,10,3,5,11,13,2,7,0,4,0,0,1452.51715432178,1438.654709422507,12,13,112,105,-7,-6
202,21,12,12,11,10,18,8,3,1,0,0,0,1484.6279074981805,1487.766680452793,13,13,94,119,0,0
203,5,7,0,3,10,10,4,5,2,2,0,0,1449.8035130827736,1588.9258093803867,13,13,77,156,-8,13
204,14,10,11,6,14,14,6,3,3,5,0,0,1601.3912703600236,1604.1027009617335,13,14,190,165,11,13
205,13,6,5,3,13,13,8,3,3,3,0,0,1510.9963767397273,1458.839212873923,14,14,121,116,5,0
206,9,13,6,3,9,9,4,6,0,3,0,0,1615.1274566405614,1523.1952703429831,3,3,183,129,12,8
207,9,10,4,3,13,10,2,5,2,3,0,1,1446.4181123324431,1488.5025433755973,20,7,98,104,-7,-2
208,7,16,2,13,8,5,1,8,1,1,0,0,1479.1624057213864,1626.0772540631883,7,3,116,172,-4,12
209,37,4,22,1,6,16,10,4,0,3,0,0,1590.3665146811957,1456.4070296351204,6,7,158,75,5,-9
210,4,13,3,9,11,19,4,4,1,1,0,0,1456.4258267780413,1568.3839506151505,7,7,114,109,-10,0
211,10,15,3,6,12,16,2,11,1,4,1,0,1461.6638151868299,1512.2454729203562,20,3,123,130,1,6
212,9,4,6,3,14,17,8,6,4,2,0,1,1435.1515007594846,1561.57920919022,7,7,114,117,-1,7
213,12,9,8,3,13,4,5,3,0,2,0,1,1413.5765059839357,1456.0203629848024,7,7,114,110,-12,-7
214,26,11,15,4,6,10,8,4,0,2,0,0,1446.6403192706673,1465.5857788269789,7,21,114,117,-2,-7
215,11,9,7,5,13,17,3,3,1,3,0,0,1483.8920445753763,1509.8378571356757,8,21,118,108,0,4
216,9,7,5,6,19,15,4,4,0,2,0,0,1582.32229282804,1559.7412031355104,9,9,149,104,14,8
217,17,9,8,2,9,10,17,5,2,2,1,0,1463.114512144509,1566.1553725815374,9,10,112,107,-6,9
218,16,15,11,8,2,10,3,1,0,0,0,0,1430.575337368167,1497.411058744227,10,9,114,102,-1,3
219,22,6,14,3,19,21,7,4,2,3,0,0,1449.1115859531371,1447.2009778445608,9,10,126,77,-3,-10
220,10,17,4,10,11,7,5,4,5,2,1,0,1426.8898798247783,1629.741789257679,10,10,122,171,-6,14
221,15,9,12,5,12,14,6,4,3,4,0,0,1460.7583423714468,1475.4978705268957,11,11,98,113,-4,-6
222,23,7,12,5,6,20,8,3,0,2,0,0,1599.5725664717552,1442.7069891439598,11,11,177,104,4,-11
223,7,7,3,4,9,11,7,6,2,2,0,0,1558.939067181583,1572.9581933239942,9,11,99,111,6,1
224,14,2,7,1,8,11,7,0,1,2,0,0,1475.5628293237226,1474.1623133365936,11,11,122,101,4,-4
225,25,15,13,12,11,15,11,5,0,1,0,0,1496.318842966825,1451.8515840691975,10,11,114,102,4,-11
226,3,10,1,5,12,17,2,2,1,0,0,0,1498.3464587834635,1583.1244287819675,11,9,123,147,5,11
227,15,2,8,2,12,12,13,3,2,2,0,0,1573.231228697151,1503.7433054640048,3,3,107,128,3,6
228,16,9,11,4,13,10,6,2,1,1,0,0,1572.2348693614344,1499.0654373801867,4,3,107,114,8,5
229,13,13,7,10,11,14,2,8,0,1,0,0,1474.9041574541225,1467.6000843228953,3,4,107,141,-4,0
230,6,12,6,6,9,8,5,8,0,1,0,0,1484.648803803136,1457.035015364612,4,4,106,119,1,-8
231,16,13,12,7,13,12,8,6,2,4,0,0,1444.4271215720178,1420.0805814677212,3,4,106,119,-13,-8
232,17,7,10,4,11,14,6,2,0,0,0,0,1636.5510876147362,1558.6660318084262,4,3,167,91,14,6
233,7,15,4,10,9,16,3,9,0,4,0,0,1437.2184988804254,1461.35205544422,3,3,100,105,-13,-2
234,7,17,4,7,9,9,7,6,1,1,1,0,1428.7124794748026,1484.52018955759,4,3,80,127,-7,6
235,21,4,15,1,20,15,12,1,4,3,0,1,1582.4054501852443,1605.0610567352896,4,4,142,185,9,3
236,15,16,10,9,13,19,4,3,2,4,0,0,1465.2049531027262,1443.337592309258,4,5,86,120,-5,-1
237,17,15,8,8,11,9,4,13,2,0,0,0,1464.7938834874392,1567.9745446757704,7,7,104,113,-1,8
238,13,12,6,4,11,16,13,3,1,2,0,0,1599.1881740532092,1440.427645926913,6,7,164,109,1,-13
239,20,7,11,4,7,17,8,4,1,1,0,0,1554.139492001402,1481.9878109238575,7,7,91,109,6,-5
240,20,7,12,4,6,10,13,3,0,1,0,0,1477.4771791252895,1433.7766708372062,7,7,132,89,5,-11
241,9,14,7,9,10,9,2,4,1,0,0,0,1450.7935789365974,1588.2783328673247,7,6,120,145,-10,11
242,12,5,6,1,7,9,3,3,2,1,0,1,1448.757332968157,1435.755489907103,6,7,119,78,0,-7
243,13,10,7,7,7,11,3,4,2,2,0,0,1424.080057112826,1459.7852124438273,7,6,124,99,-7,-5
244,10,8,3,2,9,12,4,8,1,2,0,0,1503.3257620658508,1490.8902402311505,7,7,111,96,4,2
245,16,4,6,1,14,14,6,4,1,2,0,1,1460.5164308531603,1569.3580984470225,8,8,138,111,-2,6
